1,0,0,0
4,0,0,0
72,0,0,1
76,0,0,1
83,3,0,1
103,0,0,1
125,0,0,1
129,2,0,1
171,1,0,1
174,0,0,1
176,0,0,1
177,0,0,1
178,0,0,1
186,2,0,1
187,2,0,1
190,2,0,0
202,0,0,1
223,2,0,1
230,2,0,0
363,0,3,0
365,0,3,0
366,0,3,0
371,0,1,0
375,0,2,0
378,0,2,0
383,2,3,0
384,2,3,0
387,2,3,0
390,2,1,0
393,2,1,0
396,2,2,0
399,2,2,0
401,2,2,0
421,1,2,1
430,1,4,1
434,3,4,0
435,3,4,0
440,3,0,0
441,3,0,0
445,3,0,0
449,0,0,0
450,3,0,0
451,1,0,0
467,2,0,0
473,1,0,1
479,1,0,0
482,0,0,0
483,0,0,0
484,1,0,0
485,1,0,0
490,1,0,0
493,0,0,1
494,0,0,1
502,0,0,1
504,1,0,1
505,0,0,1
506,1,0,1
515,0,0,1
527,2,0,0
528,3,0,0
529,2,0,0
530,3,0,0
531,2,0,0
532,2,0,0
533,2,0,0
534,2,0,0
539,2,0,0
540,2,0,0
545,2,0,0
550,2,0,0
556,2,0,0
561,2,0,0
571,2,0,0
573,2,0,0
574,2,0,0
577,2,0,1
581,0,0,1
582,1,0,1
586,0,0,1
591,0,0,1
592,0,0,1
593,0,0,1
596,1,0,1
597,1,0,1
598,0,0,1
599,1,0,1
600,1,0,1
602,1,0,1
605,1,0,1
606,0,0,1
611,0,0,1
612,0,0,1
613,1,0,1
615,0,0,1
616,3,0,0
617,1,0,0
619,2,0,0
630,1,0,1
643,1,3,0
646,1,3,0
649,1,1,0
661,0,3,0
663,0,3,0
681,0,3,1
683,0,3,1
684,0,3,1
686,0,1,1
689,0,1,1
690,0,1,1
694,0,2,1
696,0,2,1
700,0,4,1
701,0,4,1
703,0,0,1
704,0,0,1
706,0,0,1
710,1,0,1
716,2,0,0
720,3,0,0
721,3,0,0
727,0,0,0
729,2,0,0
735,1,0,1
738,1,0,1
740,0,0,1
741,0,0,1
744,1,0,1
747,0,0,1
756,2,0,0
759,0,0,1
760,2,0,0
761,2,0,0
773,3,0,1
775,3,0,1
776,0,0,1
777,2,0,1
778,3,0,1
